id,season,division,round,localTeam,visitorTeam,localGoals,visitorGoals,date,result,T1PliS,T1PviS,T2PliS,T2PviS,total_punts_loc,total_punts_vis,month,day_of_week,GoalsliS,GoalsviS,local_3streak,visitor_3streak,local_5streak,visitor_5streak,last_1ra_loc,last_1ra_vis,Rk_loc,Rk_vis,last_top6_loc,last_top6_vis
11702,1987-88,1,1,Atletico de Bilbao,Mallorca,2,1,1987-08-29,2,0.0,0.0,0.0,0.0,0.0,0.0,1,6,0.0,0.0,0.0,0.0,0.0,0.0,1,1,1.0,1.0,0,0
11703,1987-88,1,1,Espanol,Celta de Vigo,0,1,1987-08-29,0,0.0,0.0,0.0,0.0,0.0,0.0,1,6,0.0,0.0,0.0,0.0,0.0,0.0,1,1,1.0,1.0,0,0
11704,1987-88,1,1,Sporting de Gijon,Valladolid,0,0,1987-08-29,1,0.0,0.0,0.0,0.0,0.0,0.0,1,6,0.0,0.0,0.0,0.0,0.0,0.0,1,1,1.0,1.0,0,0
11705,1987-88,1,1,Valencia,Logrones,2,0,1987-08-29,2,0.0,0.0,0.0,0.0,0.0,0.0,1,6,0.0,0.0,0.0,0.0,0.0,0.0,1,1,1.0,1.0,0,0
11706,1987-88,1,1,Atletico de Madrid,Sabadell,1,0,1987-08-30,2,0.0,0.0,0.0,0.0,0.0,0.0,1,7,0.0,0.0,0.0,0.0,0.0,0.0,1,1,1.0,1.0,0,0
11707,1987-88,1,1,Cadiz,Real Madrid,0,4,1987-08-30,0,0.0,0.0,0.0,0.0,0.0,0.0,1,7,0.0,0.0,0.0,0.0,0.0,0.0,1,1,1.0,1.0,0,0
11708,1987-88,1,1,Las Palmas,Barcelona,1,2,1987-08-30,0,0.0,0.0,0.0,0.0,0.0,0.0,1,7,0.0,0.0,0.0,0.0,0.0,0.0,1,1,1.0,1.0,0,0
11709,1987-88,1,1,Osasuna,Murcia,1,0,1987-08-30,2,0.0,0.0,0.0,0.0,0.0,0.0,1,7,0.0,0.0,0.0,0.0,0.0,0.0,1,1,1.0,1.0,0,0
11710,1987-88,1,1,Sevilla,Betis,1,2,1987-08-30,0,0.0,0.0,0.0,0.0,0.0,0.0,1,7,0.0,0.0,0.0,0.0,0.0,0.0,1,1,1.0,1.0,0,0
11711,1987-88,1,1,Zaragoza,Real Sociedad,1,0,1987-08-30,2,0.0,0.0,0.0,0.0,0.0,0.0,1,7,0.0,0.0,0.0,0.0,0.0,0.0,1,1,1.0,1.0,0,0
11712,1987-88,1,2,Barcelona,Sevilla,1,2,1987-09-06,0,0.0,1.0,0.0,0.0,3.0,0.0,2,7,2.0,1.0,3.0,0.0,3.0,0.0,1,1,1.0,3.0,0,0
11713,1987-88,1,2,Betis,Espanol,3,1,1987-09-06,2,0.0,1.0,0.0,0.0,3.0,0.0,2,7,2.0,0.0,3.0,0.0,3.0,0.0,1,1,1.0,3.0,0,0
11714,1987-88,1,2,Celta de Vigo,Valencia,3,3,1987-09-06,1,0.0,1.0,1.0,0.0,3.0,3.0,2,7,1.0,2.0,3.0,3.0,3.0,3.0,1,1,1.0,1.0,0,0
11715,1987-88,1,2,Logrones,Atletico de Bilbao,1,1,1987-09-06,1,0.0,0.0,1.0,0.0,0.0,3.0,2,7,0.0,2.0,0.0,3.0,0.0,3.0,1,1,3.0,1.0,0,0
11716,1987-88,1,2,Mallorca,Atletico de Madrid,1,1,1987-09-06,1,0.0,0.0,1.0,0.0,0.0,3.0,2,7,1.0,1.0,0.0,3.0,0.0,3.0,1,1,3.0,1.0,0,0
11717,1987-88,1,2,Murcia,Las Palmas,2,0,1987-09-06,2,0.0,0.0,0.0,0.0,0.0,0.0,2,7,0.0,1.0,0.0,0.0,0.0,0.0,1,1,3.0,3.0,0,0
11718,1987-88,1,2,Real Sociedad,Osasuna,0,0,1987-09-06,1,0.0,0.0,1.0,0.0,0.0,3.0,2,7,0.0,1.0,0.0,3.0,0.0,3.0,1,1,3.0,1.0,0,0
11719,1987-88,1,2,Real Madrid,Sporting de Gijon,7,0,1987-09-06,2,0.0,1.0,0.3333333333333333,0.0,3.0,1.0,2,7,4.0,0.0,3.0,1.0,3.0,1.0,1,1,1.0,2.0,0,0
